date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:14	26114/26114	---MCZ	200	added ('OK')	text/css	etag:%220da42023a6af52a92bfe9bacb55c4b3a-ssl-df%22	https://lusion.co/assets/css/index.css	C:/My%20Web%20Sites/CAP/lusion.co/assets/css/index.css	(from https://lusion.co/)
20:01:15	5070/5070	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22d088cc2a7c0a32f01faf6d2bf63ea1d2-ssl-df%22	https://lusion.co/about	C:/My%20Web%20Sites/CAP/lusion.co/about.9.delayed	(from https://lusion.co/)
20:01:15	67/67	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:13%20GMT	http://lusion.co/work/coca-cola-the-soda-experience	C:/My%20Web%20Sites/CAP/lusion.co/work/coca-cola-the-soda-experience.a.delayed	(from https://lusion.co/)
20:01:15	19125/19125	---MCZ	200	added ('OK')	text/html	etag:%22d088cc2a7c0a32f01faf6d2bf63ea1d2-ssl-df%22	https://lusion.co/about/	C:/My%20Web%20Sites/CAP/lusion.co/about/index.html	(from https://lusion.co/)
20:01:16	5095/5095	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22b82b47a01818293768451cd14faa20b7-ssl-df%22	https://lusion.co/work/coca-cola-the-soda-experience	C:/My%20Web%20Sites/CAP/lusion.co/work/coca-cola-the-soda-experience.b.delayed	(from https://lusion.co/)
20:01:16	57/57	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:14%20GMT	http://lusion.co/work/my-little-storybook	C:/My%20Web%20Sites/CAP/lusion.co/work/my-little-storybook.c.delayed	(from https://lusion.co/)
20:01:17	19178/19178	---MCZ	200	added ('OK')	text/html	etag:%22b82b47a01818293768451cd14faa20b7-ssl-df%22	https://lusion.co/work/coca-cola-the-soda-experience/	C:/My%20Web%20Sites/CAP/lusion.co/work/coca-cola-the-soda-experience/index.html	(from https://lusion.co/)
20:01:17	5650/5650	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22c34becdb23974f01f0754666a44fe8e6-ssl-df%22	https://lusion.co/work/my-little-storybook	C:/My%20Web%20Sites/CAP/lusion.co/work/my-little-storybook.d.delayed	(from https://lusion.co/)
20:01:17	62/62	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:16%20GMT	http://lusion.co/work/google-webxr-experiences	C:/My%20Web%20Sites/CAP/lusion.co/work/google-webxr-experiences.e.delayed	(from https://lusion.co/)
20:01:18	20748/20748	---MCZ	200	added ('OK')	text/html	etag:%22c34becdb23974f01f0754666a44fe8e6-ssl-df%22	https://lusion.co/work/my-little-storybook/	C:/My%20Web%20Sites/CAP/lusion.co/work/my-little-storybook/index.html	(from https://lusion.co/)
20:01:18	5267/5267	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%2207cdc6304e08fbc716ccc8ed3713696b-ssl-df%22	https://lusion.co/work/google-webxr-experiences	C:/My%20Web%20Sites/CAP/lusion.co/work/google-webxr-experiences.f.delayed	(from https://lusion.co/)
20:01:19	44/44	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:17%20GMT	http://lusion.co/work/gemini	C:/My%20Web%20Sites/CAP/lusion.co/work/gemini.10.delayed	(from https://lusion.co/)
20:01:19	19206/19206	---MCZ	200	added ('OK')	text/html	etag:%2207cdc6304e08fbc716ccc8ed3713696b-ssl-df%22	https://lusion.co/work/google-webxr-experiences/	C:/My%20Web%20Sites/CAP/lusion.co/work/google-webxr-experiences/index.html	(from https://lusion.co/)
20:01:20	5283/5283	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22c7faf2bf894561caab456850da8b08cb-ssl-df%22	https://lusion.co/work/gemini	C:/My%20Web%20Sites/CAP/lusion.co/work/gemini.11.delayed	(from https://lusion.co/)
20:01:20	67/67	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:18%20GMT	http://lusion.co/work/the-turn-of-the-screw-trailer	C:/My%20Web%20Sites/CAP/lusion.co/work/the-turn-of-the-screw-trailer.12.delayed	(from https://lusion.co/)
20:01:20	19765/19765	---MCZ	200	added ('OK')	text/html	etag:%22c7faf2bf894561caab456850da8b08cb-ssl-df%22	https://lusion.co/work/gemini/	C:/My%20Web%20Sites/CAP/lusion.co/work/gemini/index.html	(from https://lusion.co/)
20:01:21	8778/8778	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22cf6ec49117bcd205c665110196140055-ssl-df%22	https://lusion.co/work/the-turn-of-the-screw-trailer	C:/My%20Web%20Sites/CAP/lusion.co/work/the-turn-of-the-screw-trailer.13.delayed	(from https://lusion.co/)
20:01:21	59/59	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:19%20GMT	http://lusion.co/work/maxmara-bearing-gifts	C:/My%20Web%20Sites/CAP/lusion.co/work/maxmara-bearing-gifts.14.delayed	(from https://lusion.co/)
20:01:22	29397/29397	---MCZ	200	added ('OK')	text/html	etag:%22cf6ec49117bcd205c665110196140055-ssl-df%22	https://lusion.co/work/the-turn-of-the-screw-trailer/	C:/My%20Web%20Sites/CAP/lusion.co/work/the-turn-of-the-screw-trailer/index.html	(from https://lusion.co/)
20:01:22	7517/7517	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22e1477facb1eff0588087d542ebb01bbd-ssl-df%22	https://lusion.co/work/maxmara-bearing-gifts	C:/My%20Web%20Sites/CAP/lusion.co/work/maxmara-bearing-gifts.15.delayed	(from https://lusion.co/)
20:01:22	57/57	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:20%20GMT	http://lusion.co/work/kaos-logo-generator	C:/My%20Web%20Sites/CAP/lusion.co/work/kaos-logo-generator.16.delayed	(from https://lusion.co/)
20:01:23	26130/26130	---MCZ	200	added ('OK')	text/html	etag:%22e1477facb1eff0588087d542ebb01bbd-ssl-df%22	https://lusion.co/work/maxmara-bearing-gifts/	C:/My%20Web%20Sites/CAP/lusion.co/work/maxmara-bearing-gifts/index.html	(from https://lusion.co/)
20:01:23	7458/7458	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%223cfafb6f82403e939295e11dcc649909-ssl-df%22	https://lusion.co/work/kaos-logo-generator	C:/My%20Web%20Sites/CAP/lusion.co/work/kaos-logo-generator.17.delayed	(from https://lusion.co/)
20:01:23	53/53	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:22%20GMT	http://lusion.co/work/open-continents	C:/My%20Web%20Sites/CAP/lusion.co/work/open-continents.18.delayed	(from https://lusion.co/)
20:01:24	25183/25183	---MCZ	200	added ('OK')	text/html	etag:%223cfafb6f82403e939295e11dcc649909-ssl-df%22	https://lusion.co/work/kaos-logo-generator/	C:/My%20Web%20Sites/CAP/lusion.co/work/kaos-logo-generator/index.html	(from https://lusion.co/)
20:01:24	5515/5515	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22e246ffeacff352515a0dd65144f43e1a-ssl-df%22	https://lusion.co/work/open-continents	C:/My%20Web%20Sites/CAP/lusion.co/work/open-continents.19.delayed	(from https://lusion.co/)
20:01:25	51/51	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:23%20GMT	http://lusion.co/work/particle-love	C:/My%20Web%20Sites/CAP/lusion.co/work/particle-love.1a.delayed	(from https://lusion.co/)
20:01:25	19874/19874	---MCZ	200	added ('OK')	text/html	etag:%22e246ffeacff352515a0dd65144f43e1a-ssl-df%22	https://lusion.co/work/open-continents/	C:/My%20Web%20Sites/CAP/lusion.co/work/open-continents/index.html	(from https://lusion.co/)
20:01:25	5740/5740	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22d5d1b262c07d59c7194293953a054907-ssl-df%22	https://lusion.co/work/particle-love	C:/My%20Web%20Sites/CAP/lusion.co/work/particle-love.1b.delayed	(from https://lusion.co/)
20:01:26	37/37	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:24%20GMT	http://lusion.co/work	C:/My%20Web%20Sites/CAP/lusion.co/work.1c.delayed	(from https://lusion.co/)
20:01:27	21435/21435	---MCZ	200	added ('OK')	text/html	etag:%22d5d1b262c07d59c7194293953a054907-ssl-df%22	https://lusion.co/work/particle-love/	C:/My%20Web%20Sites/CAP/lusion.co/work/particle-love/index.html	(from https://lusion.co/)
20:01:27	40/40	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:25%20GMT	http://lusion.co/contact	C:/My%20Web%20Sites/CAP/lusion.co/contact.1e.delayed	(from https://lusion.co/)
20:01:27	17386/17386	---MCZ	200	added ('OK')	text/html	etag:%223892f775ee64744ba0ac1d3f94604814-ssl-df%22	https://lusion.co/work	C:/My%20Web%20Sites/CAP/lusion.co/work.html	(from https://lusion.co/)
20:01:28	35/35	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:26%20GMT	http://lusion.co/cn	C:/My%20Web%20Sites/CAP/lusion.co/cn.20.delayed	(from https://lusion.co/)
20:01:28	17386/17386	---MCZ	200	added ('OK')	text/html	etag:%223892f775ee64744ba0ac1d3f94604814-ssl-df%22	https://lusion.co/contact	C:/My%20Web%20Sites/CAP/lusion.co/contact.html	(from https://lusion.co/)
20:01:29	4719/4719	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%2275b014d4294534d7e2f29db72b2995e3-ssl-df%22	https://lusion.co/cn	C:/My%20Web%20Sites/CAP/lusion.co/cn.21.delayed	(from https://lusion.co/)
20:01:29	55/55	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:27%20GMT	http://lusion.co/assets/js/TweenLite.js	C:/My%20Web%20Sites/CAP/lusion.co/assets/js/TweenLite.22.delayed	(from https://lusion.co/)
20:01:30	13338/13338	---MCZ	200	added ('OK')	text/html	etag:%2275b014d4294534d7e2f29db72b2995e3-ssl-df%22	https://lusion.co/cn/	C:/My%20Web%20Sites/CAP/lusion.co/cn/index.html	(from https://lusion.co/)
20:01:30	60/60	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:28%20GMT	http://lusion.co/assets/js/three.r128.dev.js	C:/My%20Web%20Sites/CAP/lusion.co/assets/js/three.r128.dev.24.delayed	(from https://lusion.co/)
20:01:30	28020/28020	---MCZ	200	added ('OK')	application/javascript	etag:%225526b30a7222015023797a8d7fbfc085-ssl-df%22	https://lusion.co/assets/js/TweenLite.js	C:/My%20Web%20Sites/CAP/lusion.co/assets/js/TweenLite.js	(from https://lusion.co/)
20:01:32	51/51	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:30%20GMT	http://lusion.co/assets/js/index.js	C:/My%20Web%20Sites/CAP/lusion.co/assets/js/index.26.delayed	(from https://lusion.co/)
20:01:32	602575/602575	---M-Z	200	added ('OK')	application/javascript	etag:%223a897d92d139b719d68f30711434e68b-ssl-df%22	https://lusion.co/assets/js/three.r128.dev.js	C:/My%20Web%20Sites/CAP/lusion.co/assets/js/three.r128.dev.js	(from https://lusion.co/)
20:01:33	438200/438200	---MCZ	200	added ('OK')	application/javascript	etag:%22c3176d74e204afaac9eb519184ab79d1-ssl-df%22	https://lusion.co/assets/js/index.js	C:/My%20Web%20Sites/CAP/lusion.co/assets/js/index.js	(from https://lusion.co/)
20:01:34	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Mon,%2012%20Jun%202023%2018:23:07%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/CAP/www.google-analytics.com/analytics.js	(from https://lusion.co/)
20:01:34	61600/61600	---MCZ	200	added ('OK')	application/octet-stream	etag:%2250e297e531e4c4b52614669a94dd6760-ssl-df%22	https://lusion.co/assets/fonts/GT-Sectra-Fine-Medium.eot	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/GT-Sectra-Fine-Medium.eot	(from https://lusion.co/assets/css/index.css)
20:01:35	61600/61600	---MCZ	200	added ('OK')	application/octet-stream	etag:%2250e297e531e4c4b52614669a94dd6760-ssl-df%22	https://lusion.co/assets/fonts/GT-Sectra-Fine-Medium.eot?	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/GT-Sectra-Fine-Mediumd41d.eot	(from https://lusion.co/assets/css/index.css)
20:01:36	24332/24332	---M--	200	added ('OK')	font/woff2	etag:%22d4d64df43bb623d717d829c1084e0c81-ssl%22	https://lusion.co/assets/fonts/GT-Sectra-Fine-Medium.woff2	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/GT-Sectra-Fine-Medium.woff2	(from https://lusion.co/assets/css/index.css)
20:01:37	31740/31740	---MCZ	200	added ('OK')	application/font-woff	etag:%22b398f3bd7bbc2aa13af3481e712c3227-ssl-df%22	https://lusion.co/assets/fonts/GT-Sectra-Fine-Medium.woff	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/GT-Sectra-Fine-Medium.woff	(from https://lusion.co/assets/css/index.css)
20:01:38	61376/61376	---M--	200	added ('OK')	font/ttf	etag:%221d60062d336147b175e56b61d42f5f3e-ssl%22	https://lusion.co/assets/fonts/GT-Sectra-Fine-Medium.ttf	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/GT-Sectra-Fine-Medium.ttf	(from https://lusion.co/assets/css/index.css)
20:01:38	61780/61780	---MCZ	200	added ('OK')	application/octet-stream	etag:%224825d2f8f5b14a674bd06a08f870ddb6-ssl-df%22	https://lusion.co/assets/fonts/GT-Sectra-Fine-Book.eot	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/GT-Sectra-Fine-Book.eot	(from https://lusion.co/assets/css/index.css)
20:01:39	61780/61780	---M-Z	200	added ('OK')	application/octet-stream	etag:%224825d2f8f5b14a674bd06a08f870ddb6-ssl-df%22	https://lusion.co/assets/fonts/GT-Sectra-Fine-Book.eot?	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/GT-Sectra-Fine-Bookd41d.eot	(from https://lusion.co/assets/css/index.css)
20:01:40	24000/24000	---M--	200	added ('OK')	font/woff2	etag:%227bd9a944d65697a39f03ba1eb30dc220-ssl%22	https://lusion.co/assets/fonts/GT-Sectra-Fine-Book.woff2	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/GT-Sectra-Fine-Book.woff2	(from https://lusion.co/assets/css/index.css)
20:01:40	31336/31336	---MCZ	200	added ('OK')	application/font-woff	etag:%2227f6c3f48cc61c233bacee9be302c84e-ssl-df%22	https://lusion.co/assets/fonts/GT-Sectra-Fine-Book.woff	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/GT-Sectra-Fine-Book.woff	(from https://lusion.co/assets/css/index.css)
20:01:41	61564/61564	---M--	200	added ('OK')	font/ttf	etag:%223e0ce719dbf1ea926139ad6d86b52850-ssl%22	https://lusion.co/assets/fonts/GT-Sectra-Fine-Book.ttf	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/GT-Sectra-Fine-Book.ttf	(from https://lusion.co/assets/css/index.css)
20:01:42	37159/37159	---MCZ	200	added ('OK')	application/octet-stream	etag:%22a64c86653385a7813aa1afe6277801f9-ssl-df%22	https://lusion.co/assets/fonts/nb_akademie_medium-webfont.eot	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/nb_akademie_medium-webfont.eot	(from https://lusion.co/assets/css/index.css)
20:01:43	37159/37159	---M-Z	200	added ('OK')	application/octet-stream	etag:%22a64c86653385a7813aa1afe6277801f9-ssl-df%22	https://lusion.co/assets/fonts/nb_akademie_medium-webfont.eot?	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/nb_akademie_medium-webfontd41d.eot	(from https://lusion.co/assets/css/index.css)
20:01:44	31984/31984	---M--	200	added ('OK')	font/woff2	etag:%2231f4a7fc51b260c58c128f20c19c4eb2-ssl%22	https://lusion.co/assets/fonts/nb_akademie_medium-webfont.woff2	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/nb_akademie_medium-webfont.woff2	(from https://lusion.co/assets/css/index.css)
20:01:44	42244/42244	---MCZ	200	added ('OK')	application/font-woff	etag:%221668891fb675f3915bb96ca2711e14de-ssl-df%22	https://lusion.co/assets/fonts/nb_akademie_medium-webfont.woff	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/nb_akademie_medium-webfont.woff	(from https://lusion.co/assets/css/index.css)
20:01:45	94520/94520	---M--	200	added ('OK')	font/ttf	etag:%22b000da22dcfc9866592643b348397740-ssl%22	https://lusion.co/assets/fonts/nb_akademie_medium-webfont.ttf	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/nb_akademie_medium-webfont.ttf	(from https://lusion.co/assets/css/index.css)
20:01:46	35686/35686	---MCZ	200	added ('OK')	application/octet-stream	etag:%22efc9c7ff811a2885953d24ca158b6c5f-ssl-df%22	https://lusion.co/assets/fonts/nb_akademie_light-webfont.eot	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/nb_akademie_light-webfont.eot	(from https://lusion.co/assets/css/index.css)
20:01:47	35686/35686	---MCZ	200	added ('OK')	application/octet-stream	etag:%22efc9c7ff811a2885953d24ca158b6c5f-ssl-df%22	https://lusion.co/assets/fonts/nb_akademie_light-webfont.eot?	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/nb_akademie_light-webfontd41d.eot	(from https://lusion.co/assets/css/index.css)
20:01:47	30836/30836	---M--	200	added ('OK')	font/woff2	etag:%2274b9b3346798d20ce38b26f7debe487f-ssl%22	https://lusion.co/assets/fonts/nb_akademie_light-webfont.woff2	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/nb_akademie_light-webfont.woff2	(from https://lusion.co/assets/css/index.css)
20:01:48	40680/40680	---MCZ	200	added ('OK')	application/font-woff	etag:%2224b3048d26ebec69f595862ba1525dc8-ssl-df%22	https://lusion.co/assets/fonts/nb_akademie_light-webfont.woff	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/nb_akademie_light-webfont.woff	(from https://lusion.co/assets/css/index.css)
20:01:49	93536/93536	---M--	200	added ('OK')	font/ttf	etag:%2221abf0c00711993dd2150e7e1f10661b-ssl%22	https://lusion.co/assets/fonts/nb_akademie_light-webfont.ttf	C:/My%20Web%20Sites/CAP/lusion.co/assets/fonts/nb_akademie_light-webfont.ttf	(from https://lusion.co/assets/css/index.css)
20:01:50	22447/22447	---M--	200	added ('OK')	image/png	etag:%222c53ed5615055827d0eebe170f148399-ssl%22	https://lusion.co/assets/images/dark.png	C:/My%20Web%20Sites/CAP/lusion.co/assets/images/dark.png	(from https://lusion.co/assets/css/index.css)
20:01:51	364532/364532	---M--	200	added ('OK')	image/jpeg	etag:%2234eff3f3c43b0bf2b82aeef99e8bf0d4-ssl%22	https://lusion.co/assets/work/coca-cola-the-soda-experience/desktop.jpg	C:/My%20Web%20Sites/CAP/lusion.co/assets/work/coca-cola-the-soda-experience/desktop.jpg	(from https://lusion.co/work/coca-cola-the-soda-experience/)
20:01:53	71/71	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:50%20GMT	http://lusion.co/assets/images/third-party/awwwards.svg	C:/My%20Web%20Sites/CAP/lusion.co/assets/images/third-party/awwwards.40.delayed	(from https://lusion.co/work/my-little-storybook/)
20:01:54	559673/559673	---M--	200	added ('OK')	image/jpeg	etag:%22c0af6d7133c9d2b7b699fe1c1f2f6353-ssl%22	https://lusion.co/assets/work/my-little-storybook/desktop.jpg	C:/My%20Web%20Sites/CAP/lusion.co/assets/work/my-little-storybook/desktop.jpg	(from https://lusion.co/work/my-little-storybook/)
20:01:54	2809/2809	---M-Z	200	added ('OK')	image/svg+xml	etag:%222eb56c4c6bddb2a07b6b359e45d95675-ssl-df%22	https://lusion.co/assets/images/third-party/awwwards.svg	C:/My%20Web%20Sites/CAP/lusion.co/assets/images/third-party/awwwards.svg	(from https://lusion.co/work/my-little-storybook/)
20:01:55	66/66	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:53%20GMT	http://lusion.co/assets/images/third-party/fwa.svg	C:/My%20Web%20Sites/CAP/lusion.co/assets/images/third-party/fwa.42.delayed	(from https://lusion.co/work/my-little-storybook/)
20:01:56	1642/1642	---M-Z	200	added ('OK')	image/svg+xml	etag:%2278b2812d653658f9aeb6bfc9adfa056e-ssl-df%22	https://lusion.co/assets/images/third-party/fwa.svg	C:/My%20Web%20Sites/CAP/lusion.co/assets/images/third-party/fwa.svg	(from https://lusion.co/work/my-little-storybook/)
20:01:56	68/68	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:54%20GMT	http://lusion.co/assets/images/third-party/webby.svg	C:/My%20Web%20Sites/CAP/lusion.co/assets/images/third-party/webby.44.delayed	(from https://lusion.co/work/my-little-storybook/)
20:01:57	3627/3627	---MCZ	200	added ('OK')	image/svg+xml	etag:%223b8ed98a488f91024c32f7962aadafe1-ssl-df%22	https://lusion.co/assets/images/third-party/webby.svg	C:/My%20Web%20Sites/CAP/lusion.co/assets/images/third-party/webby.svg	(from https://lusion.co/work/my-little-storybook/)
20:01:58	442465/442465	---M--	200	added ('OK')	image/jpeg	etag:%222c95fcbf068c8b940949f81d9eedebd5-ssl%22	https://lusion.co/assets/work/google-webxr-experiences/desktop.jpg	C:/My%20Web%20Sites/CAP/lusion.co/assets/work/google-webxr-experiences/desktop.jpg	(from https://lusion.co/work/google-webxr-experiences/)
20:01:59	442031/442031	---M--	200	added ('OK')	image/jpeg	etag:%227e868769dc3033be516ca3146f510123-ssl%22	https://lusion.co/assets/work/gemini/desktop.jpg	C:/My%20Web%20Sites/CAP/lusion.co/assets/work/gemini/desktop.jpg	(from https://lusion.co/work/gemini/)
20:02:01	746448/746448	---M--	200	added ('OK')	image/jpeg	etag:%2258c266a7eeab2807b5ebbd6e40784cc6-ssl%22	https://lusion.co/assets/work/the-turn-of-the-screw-trailer/desktop.jpg	C:/My%20Web%20Sites/CAP/lusion.co/assets/work/the-turn-of-the-screw-trailer/desktop.jpg	(from https://lusion.co/work/the-turn-of-the-screw-trailer/)
20:02:02	118859/118859	---M--	200	added ('OK')	image/jpeg	etag:%226b1cb511a1b038228eb37635ded4f032-ssl%22	https://lusion.co/assets/work/maxmara-bearing-gifts/desktop.jpg	C:/My%20Web%20Sites/CAP/lusion.co/assets/work/maxmara-bearing-gifts/desktop.jpg	(from https://lusion.co/work/maxmara-bearing-gifts/)
20:02:04	361160/361160	---M--	200	added ('OK')	image/jpeg	etag:%22d7e17e668e20aa46e97ac61ceab9a949-ssl%22	https://lusion.co/assets/work/kaos-logo-generator/desktop.jpg	C:/My%20Web%20Sites/CAP/lusion.co/assets/work/kaos-logo-generator/desktop.jpg	(from https://lusion.co/work/kaos-logo-generator/)
20:02:05	143420/143420	---M--	200	added ('OK')	image/jpeg	etag:%22e6a62b32a641737315adf387d55cd1ec-ssl%22	https://lusion.co/assets/work/open-continents/desktop.jpg	C:/My%20Web%20Sites/CAP/lusion.co/assets/work/open-continents/desktop.jpg	(from https://lusion.co/work/open-continents/)
20:02:06	41/41	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:32:04%20GMT	http://lusion.co/cn/about	C:/My%20Web%20Sites/CAP/lusion.co/cn/about.4d.delayed	(from https://lusion.co/cn/)
20:02:06	259375/259375	---M--	200	added ('OK')	image/jpeg	etag:%22872aefb78564ebc94dfcbdf064524947-ssl%22	https://lusion.co/assets/work/particle-love/desktop.jpg	C:/My%20Web%20Sites/CAP/lusion.co/assets/work/particle-love/desktop.jpg	(from https://lusion.co/work/particle-love/)
20:02:07	5078/5078	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%222469558e26b8fcb84b333584b2b5126b-ssl-df%22	https://lusion.co/cn/about	C:/My%20Web%20Sites/CAP/lusion.co/cn/about.4e.delayed	(from https://lusion.co/cn/)
20:02:08	60/60	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:32:06%20GMT	http://lusion.co/cn/work/kaos-logo-generator	C:/My%20Web%20Sites/CAP/lusion.co/cn/work/kaos-logo-generator.4f.delayed	(from https://lusion.co/cn/)
20:02:08	15007/15007	---MCZ	200	added ('OK')	text/html	etag:%222469558e26b8fcb84b333584b2b5126b-ssl-df%22	https://lusion.co/cn/about/	C:/My%20Web%20Sites/CAP/lusion.co/cn/about/index.html	(from https://lusion.co/cn/)
20:02:09	7531/7531	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22637a057765e5d5fa5b021232c455a4cc-ssl-df%22	https://lusion.co/cn/work/kaos-logo-generator	C:/My%20Web%20Sites/CAP/lusion.co/cn/work/kaos-logo-generator.50.delayed	(from https://lusion.co/cn/)
